sim_num,date,virus_id,tool_id,count,weight
2,8,0,-1,1,1
2,50,0,0,1,1
7,8,0,0,1,1
12,25,0,0,1,1
13,42,0,0,1,1
13,49,0,0,1,1
13,52,0,0,1,1
14,15,0,0,1,1
14,19,0,0,1,1
18,6,0,0,1,1
21,18,0,0,1,1
22,14,0,0,1,1
23,11,0,0,1,1
24,18,0,0,1,1
27,41,0,-1,1,1
27,6,0,0,1,1
28,36,0,0,1,1
36,44,0,0,1,1
38,30,0,0,1,1
46,19,0,0,1,1
47,9,0,0,1,1
50,52,0,-1,1,1
52,17,0,0,1,1
52,51,0,0,1,1
55,12,0,0,1,1
56,15,0,0,1,1
69,50,0,-1,1,1
70,18,0,0,1,1
77,37,0,0,1,1
81,38,0,0,1,1
82,52,0,-1,1,1
82,19,0,0,1,1
84,33,0,-1,1,1
84,33,0,0,1,1
85,19,0,-1,1,1
88,46,0,0,1,1
93,32,0,0,1,1
95,27,0,0,1,1
96,21,0,0,1,1
100,31,0,-1,1,1
102,7,0,0,1,1
112,47,0,-1,1,1
114,20,0,0,1,1
125,34,0,-1,1,1
125,49,0,-1,1,1
125,51,0,-1,1,1
125,41,0,0,1,1
125,42,0,0,1,1
129,30,0,-1,1,1
129,32,0,-1,1,1
129,13,0,0,1,1
129,22,0,0,1,1
130,24,0,0,1,1
130,28,0,0,1,1
130,31,0,0,1,1
131,22,0,0,1,1
143,54,0,0,1,1
151,11,0,0,1,1
155,33,0,-1,1,1
155,24,0,0,1,1
157,26,0,0,1,1
162,35,0,-1,1,1
167,43,0,0,1,1
170,51,0,-1,1,1
182,44,0,-1,1,1
186,9,0,0,1,1
191,8,0,0,1,1
