sim_num,date,virus_id,tool_id,count,weight
1,50,0,-1,1,1
2,13,0,0,1,1
9,45,0,-1,1,1
13,35,0,0,1,1
14,30,0,-1,1,1
16,33,0,-1,1,1
18,22,0,0,1,1
21,26,0,0,1,1
23,27,0,0,1,1
25,6,0,0,1,1
25,26,0,0,1,1
26,13,0,0,1,1
28,46,0,-1,1,1
28,17,0,0,1,1
32,42,0,0,1,1
34,12,0,-1,1,1
36,19,0,0,1,1
38,8,0,0,1,1
38,30,0,0,1,1
41,43,0,0,1,1
43,54,0,-1,1,1
47,35,0,-1,1,1
47,58,0,-1,1,1
47,35,0,0,1,1
47,60,0,0,1,1
49,6,0,0,1,1
50,35,0,-1,1,1
52,6,0,0,1,1
53,50,0,-1,1,1
53,30,0,0,1,1
54,18,0,0,1,1
57,20,0,0,1,1
59,36,0,-1,1,1
60,59,0,-1,1,1
60,31,0,0,1,1
61,34,0,-1,1,1
61,10,0,0,1,1
64,26,0,0,1,1
67,53,0,0,1,1
70,12,0,-1,1,1
73,46,0,-1,1,1
74,27,0,-1,1,1
76,9,0,0,1,1
78,23,0,0,1,1
79,43,0,-1,1,1
79,52,0,-1,1,1
79,38,0,0,1,1
79,57,0,0,1,1
81,26,0,0,1,1
83,14,0,0,1,1
84,26,0,0,1,1
84,44,0,0,1,1
87,13,0,0,1,1
88,13,0,-1,1,1
88,13,0,0,1,1
90,34,0,-1,1,1
90,14,0,0,1,1
90,19,0,0,1,1
93,52,0,0,1,1
96,43,0,-1,1,1
98,22,0,-1,1,1
98,33,0,-1,1,1
98,54,0,-1,1,1
98,18,0,0,1,1
98,26,0,0,1,1
98,34,0,0,1,1
101,13,0,0,1,1
106,40,0,0,1,1
111,17,0,0,1,1
113,13,0,0,1,1
114,5,0,0,1,1
118,44,0,-1,1,1
124,13,0,0,1,1
125,30,0,-1,1,1
125,37,0,-1,1,1
125,48,0,-1,1,1
125,41,0,0,1,1
130,9,0,0,1,1
131,23,0,-1,1,1
131,37,0,-1,1,1
131,35,0,0,1,1
133,39,0,-1,1,1
133,44,0,-1,1,1
133,54,0,-1,1,1
134,20,0,0,1,1
135,17,0,-1,1,1
137,10,0,0,1,1
141,6,0,0,1,1
142,30,0,-1,1,1
142,44,0,-1,1,1
145,8,0,0,1,1
146,59,0,0,1,1
148,23,0,0,1,1
150,32,0,0,1,1
150,41,0,0,1,1
151,23,0,0,1,1
152,26,0,0,1,1
155,45,0,-1,1,1
157,22,0,0,1,1
157,60,0,0,1,1
158,8,0,0,1,1
159,13,0,0,1,1
162,37,0,-1,1,1
162,40,0,-1,1,1
164,44,0,0,1,1
165,39,0,-1,1,1
166,8,0,0,1,1
169,16,0,-1,1,1
171,31,0,0,1,1
174,39,0,-1,1,1
179,20,0,-1,1,1
180,20,0,0,1,1
181,56,0,-1,1,1
181,15,0,0,1,1
182,35,0,-1,1,1
185,8,0,0,1,1
185,9,0,0,1,1
193,51,0,-1,1,1
193,54,0,-1,1,1
193,55,0,-1,1,1
193,33,0,0,1,1
197,16,0,0,1,1
198,26,0,-1,1,1
