sim_num,date,virus_id,tool_id,count,weight
1,36,0,0,1,1
2,55,0,-1,1,1
4,42,0,0,1,1
8,33,0,-1,1,1
8,40,0,-1,1,1
10,12,0,0,1,1
14,12,0,-1,1,1
17,9,0,0,1,1
17,41,0,0,1,1
19,28,0,-1,1,1
23,54,0,0,1,1
29,10,0,-1,1,1
30,21,0,-1,1,1
30,28,0,-1,1,1
30,30,0,-1,1,1
31,33,0,-1,1,1
32,34,0,-1,1,1
32,20,0,0,1,1
33,36,0,-1,1,1
33,35,0,0,1,1
36,37,0,-1,1,1
40,44,0,-1,2,2
41,16,0,-1,1,1
43,42,0,-1,1,1
43,35,0,0,1,1
43,50,0,0,1,1
44,11,0,0,1,1
45,57,0,-1,1,1
48,12,0,0,1,1
55,10,0,0,1,1
58,12,0,0,1,1
59,41,0,-1,1,1
59,50,0,-1,1,1
63,12,0,-1,1,1
63,46,0,-1,1,1
67,4,0,0,1,1
68,14,0,0,1,1
68,16,0,0,1,1
69,17,0,-1,1,1
69,29,0,0,1,1
73,12,0,0,1,1
75,29,0,-1,1,1
75,57,0,-1,1,1
75,14,0,0,1,1
76,54,0,-1,1,1
79,55,0,-1,1,1
83,33,0,-1,1,1
83,37,0,-1,1,1
83,56,0,-1,1,1
86,57,0,-1,1,1
87,12,0,0,1,1
93,38,0,-1,1,1
93,11,0,0,1,1
97,4,0,0,1,1
97,19,0,0,1,1
98,41,0,-1,1,1
98,11,0,0,1,1
98,43,0,0,1,1
99,37,0,0,1,1
100,22,0,0,1,1
106,8,0,-1,1,1
109,44,0,0,1,1
110,34,0,-1,1,1
112,28,0,0,1,1
116,21,0,-1,1,1
118,17,0,0,1,1
119,25,0,0,1,1
123,53,0,-1,1,1
124,22,0,0,1,1
125,37,0,-1,1,1
128,8,0,0,1,1
130,14,0,-1,1,1
133,16,0,-1,1,1
135,34,0,-1,1,1
139,25,0,0,1,1
139,37,0,0,1,1
140,10,0,0,1,1
140,49,0,0,1,1
141,37,0,0,1,1
142,53,0,-1,1,1
142,14,0,0,1,1
148,21,0,0,1,1
152,4,0,0,1,1
154,20,0,0,1,1
155,26,0,-1,1,1
156,47,0,-1,1,1
158,20,0,-1,1,1
158,24,0,-1,1,1
158,43,0,-1,1,1
158,19,0,0,1,1
164,28,0,-1,1,1
165,32,0,-1,1,1
165,8,0,0,1,1
165,23,0,0,1,1
175,14,0,0,1,1
177,13,0,-1,1,1
178,10,0,0,1,1
181,51,0,-1,1,1
181,36,0,0,1,1
182,29,0,-1,1,1
182,42,0,-1,1,1
184,53,0,-1,1,1
184,54,0,0,1,1
184,55,0,0,1,1
185,14,0,0,1,1
185,19,0,0,1,1
189,34,0,-1,1,1
189,20,0,0,1,1
191,60,0,-1,1,1
196,9,0,0,1,1
199,20,0,-1,1,1
