sim_num,date,virus_id,tool_id,count,weight
1,20,0,-1,1,1
1,13,0,0,1,1
6,56,0,-1,1,1
6,60,0,0,1,1
7,57,0,-1,1,1
8,12,0,0,1,1
9,18,0,-1,1,1
9,56,0,-1,1,1
9,60,0,-1,1,1
14,19,0,0,1,1
15,33,0,0,1,1
17,28,0,-1,1,1
17,52,0,-1,1,1
17,16,0,0,1,1
19,23,0,0,1,1
19,36,0,0,1,1
21,13,0,0,1,1
21,48,0,0,1,1
23,39,0,-1,1,1
23,44,0,-1,1,1
23,47,0,-1,1,1
23,50,0,-1,1,1
23,53,0,-1,1,1
23,44,0,0,1,1
23,60,0,0,2,2
25,51,0,-1,1,1
26,27,0,-1,1,1
26,34,0,-1,2,2
26,42,0,-1,1,1
26,49,0,-1,1,1
26,6,0,0,2,2
27,16,0,-1,1,1
27,29,0,0,1,1
27,45,0,0,1,1
27,55,0,0,1,1
28,18,0,0,1,1
29,39,0,-1,1,1
29,50,0,-1,1,1
29,59,0,-1,1,1
30,21,0,0,1,1
31,12,0,0,1,1
34,25,0,-1,1,1
34,33,0,-1,1,1
34,52,0,-1,1,1
34,53,0,-1,1,1
36,39,0,-1,1,1
36,58,0,-1,1,1
36,35,0,0,1,1
39,8,0,0,1,1
39,24,0,0,1,1
40,16,0,0,1,1
42,45,0,-1,1,1
42,54,0,0,1,1
42,56,0,0,1,1
43,15,0,0,1,1
45,22,0,-1,1,1
45,34,0,-1,1,1
48,37,0,-1,1,1
48,58,0,-1,1,1
48,29,0,0,1,1
51,58,0,-1,1,1
57,4,0,0,1,1
61,28,0,-1,1,1
61,33,0,-1,1,1
62,37,0,-1,1,1
62,46,0,-1,1,1
68,28,0,-1,1,1
68,34,0,-1,1,1
68,52,0,-1,1,1
70,24,0,0,1,1
75,45,0,-1,1,1
75,49,0,-1,1,1
75,5,0,0,1,1
75,29,0,0,1,1
76,42,0,-1,1,1
78,40,0,-1,1,1
78,32,0,0,1,1
79,34,0,-1,1,1
80,32,0,-1,1,1
82,33,0,-1,1,1
85,30,0,-1,1,1
87,34,0,0,1,1
88,36,0,-1,1,1
88,58,0,-1,1,1
88,18,0,0,1,1
89,18,0,0,1,1
90,32,0,-1,1,1
91,25,0,-1,1,1
91,35,0,-1,1,1
91,38,0,-1,1,1
91,40,0,-1,1,1
91,45,0,-1,1,1
91,52,0,-1,2,2
91,55,0,-1,1,1
91,51,0,0,1,1
96,5,0,0,1,1
99,47,0,-1,1,1
99,14,0,0,1,1
100,50,0,-1,1,1
100,51,0,-1,1,1
103,42,0,-1,1,1
104,36,0,-1,1,1
107,32,0,-1,1,1
107,42,0,-1,1,1
107,28,0,0,1,1
107,37,0,0,1,1
114,57,0,-1,1,1
114,23,0,0,1,1
116,42,0,0,1,1
117,29,0,-1,1,1
118,29,0,-1,1,1
119,36,0,-1,1,1
119,46,0,0,1,1
120,45,0,-1,1,1
123,13,0,0,1,1
126,7,0,0,1,1
127,33,0,0,1,1
127,45,0,0,1,1
128,33,0,-1,1,1
128,48,0,-1,1,1
130,13,0,0,1,1
132,12,0,0,1,1
135,21,0,-1,1,1
135,26,0,-1,1,1
139,7,0,0,1,1
140,38,0,-1,1,1
140,51,0,-1,1,1
140,57,0,-1,1,1
141,37,0,-1,1,1
142,17,0,-1,1,1
142,21,0,0,1,1
143,22,0,-1,1,1
143,27,0,-1,1,1
143,28,0,-1,1,1
143,38,0,-1,1,1
143,39,0,-1,1,1
143,41,0,-1,1,1
143,55,0,-1,1,1
143,58,0,-1,1,1
143,23,0,0,1,1
143,36,0,0,1,1
144,59,0,-1,1,1
145,44,0,-1,1,1
145,51,0,-1,1,1
145,57,0,-1,1,1
145,60,0,-1,1,1
146,8,0,0,1,1
151,18,0,-1,1,1
154,40,0,-1,1,1
154,44,0,-1,1,1
156,34,0,-1,1,1
156,33,0,0,1,1
157,23,0,-1,1,1
157,27,0,0,1,1
158,38,0,-1,1,1
158,43,0,-1,1,1
158,52,0,-1,1,1
158,59,0,-1,1,1
159,13,0,-1,1,1
159,15,0,-1,1,1
159,24,0,-1,1,1
159,39,0,-1,1,1
159,51,0,-1,1,1
159,53,0,-1,1,1
159,58,0,-1,1,1
159,60,0,-1,1,1
159,38,0,0,1,1
160,20,0,-1,1,1
160,45,0,-1,1,1
160,55,0,-1,1,1
160,58,0,-1,1,1
160,39,0,0,1,1
160,53,0,0,1,1
161,37,0,-1,1,1
161,43,0,-1,1,1
161,45,0,0,1,1
162,50,0,-1,1,1
164,38,0,-1,1,1
164,43,0,-1,1,1
169,20,0,-1,1,1
169,5,0,0,1,1
169,28,0,0,1,1
171,47,0,-1,1,1
171,55,0,-1,1,1
171,58,0,-1,1,1
172,21,0,-1,1,1
172,38,0,-1,1,1
172,44,0,-1,1,1
173,37,0,-1,1,1
174,15,0,-1,1,1
175,40,0,-1,1,1
175,49,0,-1,1,1
