sim_num,date,virus_id,tool_id,count,weight
1,9,0,0,1,1
5,46,0,0,1,1
7,36,0,0,1,1
10,49,0,0,1,1
13,51,0,-1,1,1
17,22,0,0,1,1
18,19,0,-1,1,1
18,12,0,0,1,1
26,14,0,0,1,1
29,45,0,-1,1,1
29,10,0,0,1,1
29,44,0,0,1,1
34,12,0,0,1,1
34,17,0,0,1,1
34,55,0,0,1,1
35,24,0,0,1,1
36,6,0,0,1,1
37,44,0,-1,1,1
37,14,0,0,1,1
39,37,0,-1,1,1
44,15,0,0,1,1
52,28,0,-1,1,1
57,50,0,-1,1,1
57,13,0,0,1,1
57,35,0,0,2,2
58,10,0,0,1,1
58,46,0,0,1,1
63,19,0,0,1,1
69,11,0,0,1,1
71,37,0,-1,1,1
72,4,0,0,1,1
72,6,0,0,1,1
80,25,0,0,1,1
80,28,0,0,1,1
81,9,0,0,1,1
83,51,0,0,1,1
83,58,0,0,1,1
84,14,0,0,1,1
85,6,0,0,1,1
86,58,0,0,1,1
88,19,0,0,1,1
92,29,0,0,1,1
98,37,0,-1,1,1
100,14,0,-1,1,1
103,54,0,0,1,1
106,25,0,0,1,1
106,26,0,0,1,1
107,6,0,0,1,1
108,17,0,0,1,1
109,17,0,0,1,1
111,12,0,0,1,1
113,29,0,0,1,1
114,59,0,-1,1,1
114,47,0,0,1,1
115,25,0,-1,1,1
116,55,0,0,1,1
116,57,0,0,1,1
117,37,0,0,1,1
125,31,0,-1,1,1
126,10,0,0,1,1
129,21,0,0,1,1
137,47,0,0,1,1
138,34,0,0,1,1
139,42,0,0,1,1
146,32,0,0,1,1
150,24,0,0,1,1
156,31,0,0,1,1
158,29,0,-1,1,1
160,20,0,0,1,1
161,50,0,-1,1,1
164,22,0,-1,1,1
164,13,0,0,1,1
164,20,0,0,1,1
165,39,0,0,1,1
171,17,0,0,1,1
178,16,0,0,1,1
183,50,0,0,1,1
184,7,0,0,1,1
186,6,0,0,1,1
188,4,0,0,1,1
188,50,0,0,1,1
190,16,0,0,1,1
193,20,0,0,1,1
194,17,0,0,1,1
195,26,0,-1,1,1
198,28,0,0,1,1
