sim_num,date,virus_id,tool_id,count,weight
5,30,0,-1,1,1
5,55,0,-1,1,1
5,59,0,-1,1,1
6,13,0,-1,1,1
7,27,0,-1,1,1
9,40,0,-1,1,1
10,49,0,0,1,1
12,15,0,0,1,1
14,14,0,0,1,1
16,31,0,0,1,1
19,21,0,-1,1,1
19,39,0,0,1,1
22,12,0,-1,1,1
22,24,0,0,1,1
24,48,0,-1,1,1
24,21,0,0,1,1
25,14,0,-1,1,1
25,23,0,-1,1,1
27,26,0,-1,1,1
28,16,0,0,1,1
29,39,0,0,1,1
30,38,0,-1,1,1
30,48,0,0,1,1
32,18,0,-1,1,1
33,25,0,-1,1,1
36,49,0,-1,1,1
39,48,0,-1,1,1
39,58,0,-1,1,1
41,59,0,-1,1,1
44,19,0,0,1,1
45,9,0,0,1,1
47,16,0,0,1,1
49,31,0,-1,1,1
49,58,0,-1,1,1
50,38,0,-1,1,1
50,32,0,0,1,1
50,46,0,0,1,1
53,36,0,-1,1,1
53,44,0,0,1,1
55,33,0,0,1,1
58,27,0,0,1,1
59,21,0,-1,1,1
59,16,0,0,1,1
60,56,0,-1,1,1
61,20,0,0,1,1
62,21,0,-1,1,1
62,57,0,-1,1,1
62,60,0,0,1,1
63,30,0,-1,1,1
63,7,0,0,1,1
63,19,0,0,1,1
68,37,0,0,1,1
69,22,0,0,1,1
71,23,0,-1,1,1
71,39,0,-1,1,1
73,45,0,-1,1,1
74,30,0,-1,1,1
74,57,0,-1,1,1
74,58,0,-1,1,1
76,23,0,0,1,1
78,16,0,-1,1,1
79,58,0,-1,1,1
82,11,0,0,1,1
83,19,0,0,1,1
85,30,0,-1,1,1
87,4,0,0,1,1
88,14,0,0,1,1
93,32,0,0,1,1
94,20,0,-1,1,1
95,23,0,-1,1,1
95,29,0,0,1,1
95,45,0,0,1,1
96,41,0,-1,1,1
96,44,0,-1,1,1
96,46,0,-1,1,1
97,21,0,0,1,1
97,46,0,0,1,1
101,22,0,-1,1,1
102,18,0,0,1,1
105,10,0,0,1,1
110,23,0,-1,1,1
111,47,0,-1,1,1
113,49,0,0,1,1
117,49,0,-1,1,1
117,48,0,0,1,1
118,17,0,-1,1,1
118,46,0,0,1,1
119,5,0,0,1,1
120,13,0,-1,1,1
120,16,0,-1,1,1
120,43,0,0,1,1
125,53,0,-1,1,1
125,55,0,-1,1,1
127,33,0,0,1,1
128,15,0,-1,1,1
131,13,0,0,1,1
134,29,0,0,1,1
135,47,0,-1,1,1
136,47,0,-1,1,1
137,26,0,0,1,1
138,4,0,0,1,1
139,51,0,-1,1,1
140,12,0,0,1,1
140,14,0,0,1,1
141,47,0,-1,1,1
141,52,0,-1,1,1
141,30,0,0,1,1
142,12,0,-1,1,1
142,47,0,-1,1,1
142,55,0,-1,1,1
142,57,0,-1,1,1
149,14,0,0,1,1
150,31,0,-1,1,1
150,18,0,0,1,1
153,36,0,-1,1,1
154,47,0,-1,1,1
154,49,0,-1,1,1
156,57,0,-1,1,1
156,58,0,-1,1,1
161,32,0,-1,1,1
161,57,0,0,1,1
168,45,0,0,1,1
169,39,0,-1,1,1
169,59,0,-1,1,1
169,40,0,0,1,1
170,50,0,0,1,1
172,31,0,-1,1,1
172,42,0,-1,1,1
172,48,0,-1,1,1
172,54,0,-1,1,1
172,23,0,0,1,1
174,11,0,0,1,1
182,55,0,-1,1,1
190,7,0,0,1,1
191,30,0,-1,1,1
191,57,0,0,1,1
193,51,0,-1,1,1
194,17,0,0,1,1
194,40,0,0,1,1
195,21,0,-1,1,1
196,24,0,-1,1,1
